,time,v10,dep
159,2020-08-07,-0.19096455,01
160,2020-08-08,-0.36023933,01
161,2020-08-09,-0.22596845,01
162,2020-08-10,1.1104337,01
163,2020-08-11,0.12114513,01
164,2020-08-12,1.9102924,01
165,2020-08-13,1.2981565,01
166,2020-08-14,-0.7064304,01
167,2020-08-15,-0.8620135,01
168,2020-08-16,0.19327624,01
169,2020-08-17,0.07745074,01
170,2020-08-18,-0.4148315,01
171,2020-08-19,1.1369679,01
172,2020-08-20,2.9424453,01
173,2020-08-21,2.0859606,01
174,2020-08-22,-1.0885768,01
175,2020-08-23,-1.7891042,01
176,2020-08-24,-2.0086648,01
177,2020-08-25,1.1831338,01
178,2020-08-26,-0.40865538,01
179,2020-08-27,0.16078696,01
180,2020-08-28,1.0289217,01
181,2020-08-29,-0.7290536,01
182,2020-08-30,-1.115219,01
183,2020-08-31,-1.8968306,01
184,2020-09-01,-2.0477602,01
185,2020-09-02,-1.6320617,01
186,2020-09-03,-0.9491127,01
187,2020-09-04,1.3542049,01
188,2020-09-05,0.26143342,01
189,2020-09-06,-2.2315333,01
190,2020-09-07,-2.930612,01
191,2020-09-08,-1.16943,01
192,2020-09-09,-0.4214229,01
193,2020-09-10,-1.4970849,01
194,2020-09-11,-1.5101663,01
195,2020-09-12,-1.1181886,01
196,2020-09-13,-0.43186635,01
197,2020-09-14,1.3879879,01
198,2020-09-15,1.1446784,01
199,2020-09-16,-0.7581843,01
200,2020-09-17,-1.575832,01
201,2020-09-18,1.4220325,01
202,2020-09-19,0.5670975,01
203,2020-09-20,-0.24055938,01
204,2020-09-21,0.3125554,01
205,2020-09-22,1.1685686,01
206,2020-09-23,1.7253208,01
207,2020-09-24,1.9973975,01
208,2020-09-25,0.42358097,01
209,2020-09-26,-0.13579582,01
210,2020-09-27,2.1573393,01
211,2020-09-28,0.9883885,01
212,2020-09-29,-0.42448714,01
213,2020-09-30,0.28977385,01
214,2020-10-01,1.6717471,01
215,2020-10-02,1.2720131,01
216,2020-10-03,4.356698,01
217,2020-10-04,3.4595292,01
218,2020-10-05,2.8836148,01
219,2020-10-06,3.025124,01
220,2020-10-07,0.2060101,01
221,2020-10-08,0.70474404,01
222,2020-10-09,0.45950127,01
223,2020-10-10,-1.3202423,01
224,2020-10-11,-2.4181285,01
225,2020-10-12,-2.430568,01
226,2020-10-13,0.085242786,01
227,2020-10-14,-1.5478963,01
228,2020-10-15,-3.2104974,01
229,2020-10-16,-2.840826,01
230,2020-10-17,-1.6521894,01
231,2020-10-18,-1.3720227,01
232,2020-10-19,1.6102064,01
233,2020-10-20,4.0317283,01
234,2020-10-21,3.8940232,01
235,2020-10-22,2.2987812,01
236,2020-10-23,1.3034766,01
237,2020-10-24,0.65465415,01
238,2020-10-25,2.321204,01
239,2020-10-26,0.6694744,01
240,2020-10-27,1.7431198,01
241,2020-10-28,1.978263,01
242,2020-10-29,1.07499,01
243,2020-10-30,-0.34409425,01
244,2020-10-31,0.9790211,01
245,2020-03-01,3.7332919,02
246,2020-03-02,1.6240058,02
247,2020-03-03,1.6375699,02
248,2020-03-04,3.0867364,02
249,2020-03-05,2.7346168,02
250,2020-03-06,-2.5131755,02
251,2020-03-07,1.3309821,02
252,2020-03-08,4.561187,02
253,2020-03-09,1.2367499,02
254,2020-03-10,3.7493556,02
255,2020-03-11,4.3225956,02
256,2020-03-12,1.8541546,02
257,2020-03-13,1.1919633,02
258,2020-03-14,3.1278584,02
259,2020-03-15,4.0442076,02
260,2020-03-16,-1.2805978,02
261,2020-03-17,0.3754663,02
262,2020-03-18,1.4978021,02
263,2020-03-19,-0.17107718,02
264,2020-03-20,-3.2777317,02
265,2020-03-21,-2.2566586,02
266,2020-03-22,-0.3819411,02
267,2020-03-23,1.4555993,02
268,2020-03-24,1.2134138,02
269,2020-03-25,-0.89916265,02
270,2020-03-26,-2.172353,02
271,2020-03-27,-2.862114,02
272,2020-03-28,-4.1117086,02
273,2020-03-29,-6.7596035,02
274,2020-03-30,-4.301847,02
275,2020-03-31,-2.6743963,02
276,2020-04-01,-1.774584,02
277,2020-04-02,-1.5991263,02
278,2020-04-03,-0.9200416,02
279,2020-04-04,1.5391988,02
280,2020-04-05,2.8615162,02
281,2020-04-06,2.5731502,02
282,2020-04-07,-0.6774653,02
283,2020-04-08,0.53465545,02
284,2020-04-09,-1.2498815,02
285,2020-04-10,-1.3540183,02
286,2020-04-11,-0.7295558,02
287,2020-04-12,0.7641798,02
288,2020-04-13,-4.40107,02
289,2020-04-14,-2.7603705,02
290,2020-04-15,0.13856514,02
291,2020-04-16,1.8016486,02
292,2020-04-17,0.73374593,02
293,2020-04-18,0.27036026,02
294,2020-04-19,-2.8798587,02
295,2020-04-20,-1.573188,02
296,2020-04-21,-1.5754585,02
297,2020-04-22,-1.2251494,02
298,2020-04-23,-0.56203085,02
299,2020-04-24,-1.8427438,02
300,2020-04-25,-2.7219768,02
301,2020-04-26,-2.0556073,02
302,2020-04-27,1.2460041,02
303,2020-04-28,2.7248394,02
304,2020-04-29,3.66236,02
305,2020-04-30,4.5397015,02
306,2020-05-01,2.2982469,02
307,2020-05-02,0.10144078,02
308,2020-05-03,1.7083532,02
309,2020-05-04,-1.5555775,02
310,2020-05-05,-1.8705921,02
311,2020-05-06,-0.81014264,02
312,2020-05-07,-0.102413505,02
313,2020-05-08,-1.0611018,02
314,2020-05-09,0.7453813,02
315,2020-05-10,-1.3717185,02
316,2020-05-11,-7.051814,02
317,2020-05-12,-2.9679883,02
318,2020-05-13,-3.9884648,02
319,2020-05-14,-4.2547793,02
320,2020-05-15,-3.9475658,02
321,2020-05-16,-2.194517,02
322,2020-05-17,-1.6140414,02
323,2020-05-18,-1.2946181,02
324,2020-05-19,-2.2788599,02
325,2020-05-20,-2.5079298,02
326,2020-05-21,0.07520701,02
327,2020-05-22,1.3905163,02
328,2020-05-23,-0.03388328,02
329,2020-05-24,-0.8465472,02
330,2020-05-25,-2.5310495,02
331,2020-05-26,-2.8270822,02
332,2020-05-27,-3.0258589,02
333,2020-05-28,-3.2757442,02
334,2020-05-29,-1.7102515,02
335,2020-05-30,-0.7510458,02
336,2020-05-31,-1.463168,02
337,2020-06-01,-0.8361458,02
338,2020-06-02,-1.8348675,02
339,2020-06-03,-2.5215178,02
340,2020-06-04,-3.467978,02
341,2020-06-05,1.812906,02
342,2020-06-06,1.5096792,02
343,2020-06-07,-0.04512467,02
