,time,t2m,dep
174,2020-08-22,294.3862,01
175,2020-08-23,292.06134,01
176,2020-08-24,291.98508,01
177,2020-08-25,294.19772,01
178,2020-08-26,293.8208,01
179,2020-08-27,293.7945,01
180,2020-08-28,290.525,01
181,2020-08-29,289.09183,01
182,2020-08-30,287.09842,01
183,2020-08-31,287.68604,01
184,2020-09-01,288.1531,01
185,2020-09-02,289.15866,01
186,2020-09-03,290.9323,01
187,2020-09-04,293.7968,01
188,2020-09-05,293.9149,01
189,2020-09-06,289.07825,01
190,2020-09-07,288.81577,01
191,2020-09-08,290.34393,01
192,2020-09-09,293.02594,01
193,2020-09-10,293.4962,01
194,2020-09-11,293.62027,01
195,2020-09-12,294.218,01
196,2020-09-13,294.88583,01
197,2020-09-14,296.2666,01
198,2020-09-15,296.19156,01
199,2020-09-16,295.6535,01
200,2020-09-17,294.95728,01
201,2020-09-18,295.95273,01
202,2020-09-19,294.4529,01
203,2020-09-20,291.4796,01
204,2020-09-21,290.5108,01
205,2020-09-22,290.2023,01
206,2020-09-23,290.6007,01
207,2020-09-24,289.32428,01
208,2020-09-25,282.95657,01
209,2020-09-26,280.8255,01
210,2020-09-27,279.56464,01
211,2020-09-28,282.62918,01
212,2020-09-29,284.75992,01
213,2020-09-30,285.72,01
214,2020-10-01,285.42917,01
215,2020-10-02,284.54642,01
216,2020-10-03,282.8839,01
217,2020-10-04,283.0042,01
218,2020-10-05,282.61453,01
219,2020-10-06,284.43918,01
220,2020-10-07,283.92953,01
221,2020-10-08,285.33243,01
222,2020-10-09,286.21454,01
223,2020-10-10,284.0073,01
224,2020-10-11,280.33835,01
225,2020-10-12,280.00992,01
226,2020-10-13,280.35413,01
227,2020-10-14,281.2318,01
228,2020-10-15,279.78412,01
229,2020-10-16,281.68625,01
230,2020-10-17,281.5994,01
231,2020-10-18,280.8171,01
232,2020-10-19,282.21024,01
233,2020-10-20,285.6203,01
234,2020-10-21,287.78058,01
235,2020-10-22,286.74417,01
236,2020-10-23,285.26212,01
237,2020-10-24,284.45596,01
238,2020-10-25,285.17923,01
239,2020-10-26,280.71762,01
240,2020-10-27,280.87567,01
241,2020-10-28,283.1984,01
242,2020-10-29,282.9352,01
243,2020-10-30,283.3621,01
244,2020-10-31,283.5917,01
245,2020-03-01,278.7312,02
246,2020-03-02,278.53137,02
247,2020-03-03,277.15033,02
248,2020-03-04,278.04852,02
249,2020-03-05,280.79523,02
250,2020-03-06,278.85187,02
251,2020-03-07,278.38422,02
252,2020-03-08,280.93903,02
253,2020-03-09,280.10406,02
254,2020-03-10,283.20493,02
255,2020-03-11,285.2159,02
256,2020-03-12,282.09332,02
257,2020-03-13,279.88922,02
258,2020-03-14,279.863,02
259,2020-03-15,282.59827,02
260,2020-03-16,281.97336,02
261,2020-03-17,282.48346,02
262,2020-03-18,283.47327,02
263,2020-03-19,284.6337,02
264,2020-03-20,282.71384,02
265,2020-03-21,279.68353,02
266,2020-03-22,279.00687,02
267,2020-03-23,277.6279,02
268,2020-03-24,277.56146,02
269,2020-03-25,277.61865,02
270,2020-03-26,277.73788,02
271,2020-03-27,280.0954,02
272,2020-03-28,281.62833,02
273,2020-03-29,277.7149,02
274,2020-03-30,276.42603,02
275,2020-03-31,277.73328,02
276,2020-04-01,277.83698,02
277,2020-04-02,278.07062,02
278,2020-04-03,280.95425,02
279,2020-04-04,281.84784,02
280,2020-04-05,285.46844,02
281,2020-04-06,285.8669,02
282,2020-04-07,287.44,02
283,2020-04-08,288.64377,02
284,2020-04-09,288.5408,02
285,2020-04-10,288.88864,02
286,2020-04-11,288.6157,02
287,2020-04-12,288.67996,02
288,2020-04-13,283.53546,02
289,2020-04-14,279.74118,02
290,2020-04-15,283.78082,02
291,2020-04-16,288.42426,02
292,2020-04-17,289.69766,02
293,2020-04-18,288.3274,02
294,2020-04-19,286.07047,02
295,2020-04-20,287.8822,02
296,2020-04-21,288.37476,02
297,2020-04-22,288.87665,02
298,2020-04-23,289.34296,02
299,2020-04-24,288.87003,02
300,2020-04-25,285.7694,02
301,2020-04-26,285.42047,02
302,2020-04-27,288.17688,02
303,2020-04-28,287.37323,02
304,2020-04-29,285.56223,02
305,2020-04-30,284.2112,02
306,2020-05-01,283.8355,02
307,2020-05-02,283.36203,02
308,2020-05-03,284.2417,02
309,2020-05-04,286.45963,02
310,2020-05-05,285.44772,02
311,2020-05-06,286.73868,02
312,2020-05-07,286.93268,02
313,2020-05-08,289.3366,02
314,2020-05-09,290.87332,02
315,2020-05-10,289.40997,02
316,2020-05-11,282.23743,02
317,2020-05-12,281.74777,02
318,2020-05-13,282.9178,02
319,2020-05-14,282.80368,02
320,2020-05-15,283.91116,02
321,2020-05-16,285.25064,02
322,2020-05-17,286.23715,02
323,2020-05-18,287.8676,02
324,2020-05-19,289.19302,02
325,2020-05-20,292.14392,02
326,2020-05-21,294.42963,02
327,2020-05-22,293.0744,02
328,2020-05-23,287.27747,02
329,2020-05-24,286.87833,02
330,2020-05-25,289.4012,02
331,2020-05-26,290.9582,02
332,2020-05-27,291.39288,02
333,2020-05-28,290.42316,02
334,2020-05-29,290.97205,02
335,2020-05-30,291.76898,02
336,2020-05-31,291.29218,02
337,2020-06-01,293.07214,02
338,2020-06-02,294.62756,02
339,2020-06-03,291.77124,02
340,2020-06-04,286.79538,02
341,2020-06-05,285.42065,02
342,2020-06-06,286.22556,02
343,2020-06-07,287.0158,02
344,2020-06-08,286.3854,02
345,2020-06-09,286.65256,02
346,2020-06-10,287.54245,02
347,2020-06-11,289.5032,02
348,2020-06-12,289.6741,02
349,2020-06-13,291.01706,02
350,2020-06-14,290.3491,02
351,2020-06-15,290.69235,02
352,2020-06-16,290.64252,02
353,2020-06-17,289.82315,02
354,2020-06-18,289.63184,02
355,2020-06-19,289.67087,02
356,2020-06-20,290.60092,02
357,2020-06-21,290.84406,02
358,2020-06-22,289.78488,02
359,2020-06-23,293.9508,02
360,2020-06-24,297.35492,02
361,2020-06-25,298.4289,02
362,2020-06-26,297.2954,02
363,2020-06-27,294.0054,02
364,2020-06-28,291.42877,02
365,2020-06-29,289.9499,02
366,2020-06-30,291.2807,02
367,2020-07-01,292.17676,02
368,2020-07-02,290.22498,02
369,2020-07-03,289.7567,02
370,2020-07-04,291.4533,02
371,2020-07-05,292.54865,02
372,2020-07-06,288.57346,02
373,2020-07-07,289.58005,02
374,2020-07-08,290.3778,02
375,2020-07-09,294.50555,02
376,2020-07-10,290.86606,02
377,2020-07-11,289.52762,02
378,2020-07-12,290.7258,02
379,2020-07-13,292.6011,02
380,2020-07-14,290.76657,02
381,2020-07-15,290.3862,02
382,2020-07-16,289.87708,02
383,2020-07-17,291.568,02
384,2020-07-18,293.74384,02
385,2020-07-19,293.9806,02
386,2020-07-20,291.84354,02
387,2020-07-21,290.92462,02
388,2020-07-22,290.95016,02
389,2020-07-23,292.82758,02
390,2020-07-24,292.59006,02
391,2020-07-25,293.79056,02
392,2020-07-26,292.57532,02
393,2020-07-27,295.75208,02
394,2020-07-28,292.6824,02
395,2020-07-29,291.34918,02
396,2020-07-30,295.7114,02
397,2020-07-31,301.0918,02
398,2020-08-01,296.3907,02
399,2020-08-02,293.0182,02
400,2020-08-03,290.15515,02
401,2020-08-04,291.19095,02
402,2020-08-05,295.0871,02
403,2020-08-06,298.18558,02
404,2020-08-07,300.835,02
405,2020-08-08,302.48645,02
406,2020-08-09,302.92258,02
407,2020-08-10,301.80518,02
408,2020-08-11,301.5642,02
409,2020-08-12,300.77332,02
410,2020-08-13,298.15356,02
411,2020-08-14,295.20242,02
412,2020-08-15,294.84387,02
413,2020-08-16,294.76907,02
414,2020-08-17,292.9254,02
415,2020-08-18,293.14804,02
416,2020-08-19,294.34454,02
417,2020-08-20,298.15887,02
418,2020-08-21,296.16653,02
419,2020-08-22,293.1986,02
420,2020-08-23,290.9912,02
421,2020-08-24,289.87088,02
422,2020-08-25,292.3137,02
423,2020-08-26,291.37976,02
424,2020-08-27,290.98138,02
425,2020-08-28,289.6113,02
426,2020-08-29,287.803,02
427,2020-08-30,288.45587,02
428,2020-08-31,287.85092,02
429,2020-09-01,288.23828,02
430,2020-09-02,288.4035,02
431,2020-09-03,291.95953,02
432,2020-09-04,293.33127,02
433,2020-09-05,289.5571,02
434,2020-09-06,287.97235,02
435,2020-09-07,288.87384,02
436,2020-09-08,290.49747,02
437,2020-09-09,293.48856,02
438,2020-09-10,292.5789,02
439,2020-09-11,292.45456,02
440,2020-09-12,290.13168,02
441,2020-09-13,291.82248,02
442,2020-09-14,296.55176,02
443,2020-09-15,298.46472,02
444,2020-09-16,296.5842,02
445,2020-09-17,291.93472,02
446,2020-09-18,293.83194,02
447,2020-09-19,295.84943,02
448,2020-09-20,294.81738,02
449,2020-09-21,291.7962,02
450,2020-09-22,291.29474,02
451,2020-09-23,290.8488,02
452,2020-09-24,287.00812,02
453,2020-09-25,283.51642,02
454,2020-09-26,283.23987,02
455,2020-09-27,286.40533,02
456,2020-09-28,285.73096,02
457,2020-09-29,287.25784,02
458,2020-09-30,288.56793,02
459,2020-10-01,286.53958,02
460,2020-10-02,285.46,02
461,2020-10-03,284.6868,02
462,2020-10-04,284.3265,02
463,2020-10-05,284.89676,02
464,2020-10-06,285.5306,02
465,2020-10-07,285.57764,02
466,2020-10-08,288.16525,02
467,2020-10-09,287.2531,02
468,2020-10-10,283.72656,02
469,2020-10-11,282.52222,02
470,2020-10-12,282.6339,02
471,2020-10-13,281.91217,02
472,2020-10-14,282.46094,02
473,2020-10-15,282.0346,02
474,2020-10-16,282.6348,02
475,2020-10-17,282.4288,02
476,2020-10-18,282.67984,02
477,2020-10-19,282.73688,02
478,2020-10-20,285.5849,02
479,2020-10-21,288.7682,02
480,2020-10-22,287.90588,02
481,2020-10-23,286.77338,02
482,2020-10-24,286.35397,02
483,2020-10-25,285.1416,02
484,2020-10-26,282.72025,02
485,2020-10-27,283.08112,02
486,2020-10-28,284.56024,02
487,2020-10-29,284.49692,02
488,2020-10-30,286.57855,02
489,2020-10-31,286.53217,02
490,2020-03-01,280.5023,03
491,2020-03-02,278.9782,03
492,2020-03-03,277.1423,03
493,2020-03-04,278.65182,03
494,2020-03-05,282.18964,03
495,2020-03-06,278.5024,03
496,2020-03-07,278.46893,03
497,2020-03-08,280.60217,03
498,2020-03-09,279.5904,03
499,2020-03-10,281.77203,03
500,2020-03-11,284.58432,03
501,2020-03-12,283.7347,03
502,2020-03-13,279.86652,03
503,2020-03-14,279.62387,03
504,2020-03-15,283.2494,03
505,2020-03-16,282.88458,03
506,2020-03-17,284.87708,03
507,2020-03-18,285.26587,03
508,2020-03-19,286.02475,03
509,2020-03-20,285.75244,03
510,2020-03-21,284.42154,03
511,2020-03-22,283.01456,03
512,2020-03-23,282.00317,03
513,2020-03-24,279.02878,03
514,2020-03-25,278.14496,03
515,2020-03-26,277.70972,03
516,2020-03-27,279.32642,03
517,2020-03-28,282.26498,03
518,2020-03-29,277.999,03
519,2020-03-30,277.3256,03
520,2020-03-31,278.06833,03
521,2020-04-01,278.79825,03
522,2020-04-02,279.0735,03
523,2020-04-03,279.0735,03
524,2020-04-04,281.797,03
525,2020-04-05,285.0772,03
526,2020-04-06,286.0719,03
527,2020-04-07,286.59244,03
528,2020-04-08,287.62662,03
529,2020-04-09,287.7744,03
530,2020-04-10,288.54944,03
531,2020-04-11,288.94897,03
532,2020-04-12,288.64948,03
533,2020-04-13,287.7382,03
534,2020-04-14,283.725,03
535,2020-04-15,286.66724,03
536,2020-04-16,289.05078,03
537,2020-04-17,289.6775,03
538,2020-04-18,288.8537,03
539,2020-04-19,287.87485,03
540,2020-04-20,288.94983,03
541,2020-04-21,288.5269,03
542,2020-04-22,288.85333,03
543,2020-04-23,289.67346,03
544,2020-04-24,289.80872,03
545,2020-04-25,289.27603,03
546,2020-04-26,288.819,03
547,2020-04-27,288.2845,03
548,2020-04-28,285.82578,03
549,2020-04-29,285.619,03
550,2020-04-30,284.50922,03
551,2020-05-01,284.90552,03
552,2020-05-02,285.0984,03
553,2020-05-03,287.14752,03
554,2020-05-04,289.9856,03
555,2020-05-05,290.0053,03
556,2020-05-06,287.94043,03
557,2020-05-07,289.05325,03
558,2020-05-08,291.61542,03
559,2020-05-09,291.30655,03
560,2020-05-10,290.18234,03
561,2020-05-11,284.6272,03
562,2020-05-12,283.2473,03
563,2020-05-13,284.01672,03
564,2020-05-14,284.92017,03
565,2020-05-15,285.33493,03
566,2020-05-16,286.856,03
567,2020-05-17,286.51566,03
568,2020-05-18,288.44025,03
569,2020-05-19,289.8178,03
570,2020-05-20,291.78165,03
571,2020-05-21,293.9152,03
572,2020-05-22,293.86823,03
573,2020-05-23,286.8025,03
574,2020-05-24,287.18057,03
575,2020-05-25,289.23306,03
576,2020-05-26,290.527,03
577,2020-05-27,291.0221,03
578,2020-05-28,291.92313,03
579,2020-05-29,291.19022,03
580,2020-05-30,290.89243,03
581,2020-05-31,291.34436,03
582,2020-06-01,291.71313,03
583,2020-06-02,293.30045,03
584,2020-06-03,292.29678,03
585,2020-06-04,288.37936,03
586,2020-06-05,286.60257,03
587,2020-06-06,287.22192,03
588,2020-06-07,285.77866,03
589,2020-06-08,286.71024,03
590,2020-06-09,286.23212,03
591,2020-06-10,287.60748,03
592,2020-06-11,288.12338,03
593,2020-06-12,287.9584,03
594,2020-06-13,289.32306,03
595,2020-06-14,288.97745,03
596,2020-06-15,289.0459,03
597,2020-06-16,288.96573,03
598,2020-06-17,288.35757,03
599,2020-06-18,288.32416,03
600,2020-06-19,288.6236,03
601,2020-06-20,290.05844,03
602,2020-06-21,290.75394,03
603,2020-06-22,291.5348,03
604,2020-06-23,294.09955,03
605,2020-06-24,297.91885,03
606,2020-06-25,298.87915,03
607,2020-06-26,297.0984,03
608,2020-06-27,295.03754,03
609,2020-06-28,292.4077,03
610,2020-06-29,291.29654,03
611,2020-06-30,292.40018,03
612,2020-07-01,294.1,03
613,2020-07-02,291.73184,03
614,2020-07-03,290.14523,03
615,2020-07-04,291.65704,03
616,2020-07-05,293.6948,03
617,2020-07-06,290.87344,03
618,2020-07-07,291.11926,03
619,2020-07-08,294.40933,03
620,2020-07-09,297.68015,03
621,2020-07-10,293.983,03
622,2020-07-11,292.5569,03
623,2020-07-12,293.81476,03
624,2020-07-13,294.71747,03
625,2020-07-14,294.03055,03
626,2020-07-15,290.19733,03
627,2020-07-16,290.55844,03
628,2020-07-17,291.5165,03
629,2020-07-18,294.00974,03
630,2020-07-19,296.5394,03
631,2020-07-20,297.76364,03
632,2020-07-21,297.35733,03
633,2020-07-22,297.01645,03
634,2020-07-23,296.47232,03
635,2020-07-24,296.1968,03
636,2020-07-25,295.59094,03
637,2020-07-26,295.3008,03
638,2020-07-27,298.69577,03
639,2020-07-28,295.6552,03
640,2020-07-29,295.82544,03
641,2020-07-30,300.41406,03
642,2020-07-31,302.9717,03
643,2020-08-01,298.69653,03
644,2020-08-02,293.89276,03
645,2020-08-03,291.90497,03
646,2020-08-04,290.8851,03
647,2020-08-05,294.30185,03
648,2020-08-06,297.70386,03
649,2020-08-07,300.6168,03
650,2020-08-08,302.01572,03
651,2020-08-09,301.37668,03
652,2020-08-10,300.02063,03
653,2020-08-11,300.12143,03
654,2020-08-12,299.82004,03
655,2020-08-13,295.31314,03
656,2020-08-14,294.4463,03
657,2020-08-15,295.84015,03
658,2020-08-16,294.42484,03
659,2020-08-17,293.3499,03
660,2020-08-18,293.64313,03
