,time,u10,dep
160,2020-08-08,-0.28763932,01
161,2020-08-09,-0.08450635,01
162,2020-08-10,0.13760027,01
163,2020-08-11,-0.38126636,01
164,2020-08-12,-0.108289294,01
165,2020-08-13,0.042659264,01
166,2020-08-14,0.6667043,01
167,2020-08-15,-0.16154115,01
168,2020-08-16,0.3362849,01
169,2020-08-17,0.7257531,01
170,2020-08-18,0.43261954,01
171,2020-08-19,-0.13407594,01
172,2020-08-20,-0.0028704873,01
173,2020-08-21,0.86277294,01
174,2020-08-22,1.183958,01
175,2020-08-23,1.3056557,01
176,2020-08-24,0.17044008,01
177,2020-08-25,0.37520832,01
178,2020-08-26,1.456008,01
179,2020-08-27,0.5127428,01
180,2020-08-28,0.43423703,01
181,2020-08-29,0.10761036,01
182,2020-08-30,1.2565354,01
183,2020-08-31,0.24406348,01
184,2020-09-01,-0.031430624,01
185,2020-09-02,0.34110418,01
186,2020-09-03,-0.13059783,01
187,2020-09-04,-0.2231803,01
188,2020-09-05,0.78378713,01
189,2020-09-06,0.45864648,01
190,2020-09-07,-0.80975163,01
191,2020-09-08,-0.21124288,01
192,2020-09-09,-0.04409971,01
193,2020-09-10,-0.28869104,01
194,2020-09-11,-0.013058526,01
195,2020-09-12,-0.055532556,01
196,2020-09-13,-0.27114108,01
197,2020-09-14,-0.46890736,01
198,2020-09-15,-0.38364476,01
199,2020-09-16,-0.38799974,01
200,2020-09-17,-1.1936858,01
201,2020-09-18,-0.6725427,01
202,2020-09-19,-0.796048,01
203,2020-09-20,-0.2392135,01
204,2020-09-21,0.04318455,01
205,2020-09-22,0.276887,01
206,2020-09-23,0.42683047,01
207,2020-09-24,0.8732973,01
208,2020-09-25,2.2119787,01
209,2020-09-26,1.5454433,01
210,2020-09-27,0.8623634,01
211,2020-09-28,0.79153013,01
212,2020-09-29,0.22919509,01
213,2020-09-30,-0.20007487,01
214,2020-10-01,-0.012382354,01
215,2020-10-02,-0.23049304,01
216,2020-10-03,0.14372042,01
217,2020-10-04,0.6929676,01
218,2020-10-05,0.4049143,01
219,2020-10-06,0.77994263,01
220,2020-10-07,1.2066797,01
221,2020-10-08,-0.20068367,01
222,2020-10-09,0.17383745,01
223,2020-10-10,0.8140718,01
224,2020-10-11,0.6525678,01
225,2020-10-12,0.29979298,01
226,2020-10-13,0.15511015,01
227,2020-10-14,-0.4674282,01
228,2020-10-15,0.059957292,01
229,2020-10-16,-0.0057747876,01
230,2020-10-17,0.053236756,01
231,2020-10-18,0.026592437,01
232,2020-10-19,-0.4681199,01
233,2020-10-20,0.062490404,01
234,2020-10-21,0.23929442,01
235,2020-10-22,-0.5506834,01
236,2020-10-23,-0.1480086,01
237,2020-10-24,0.16021313,01
238,2020-10-25,0.40467286,01
239,2020-10-26,0.1478783,01
240,2020-10-27,-0.09418144,01
241,2020-10-28,0.15893252,01
242,2020-10-29,0.12716658,01
243,2020-10-30,-0.34833354,01
244,2020-10-31,-0.4155377,01
245,2020-03-01,3.4275954,02
246,2020-03-02,2.0587747,02
247,2020-03-03,2.9945912,02
