,time,tp,dep
158,2020-08-06,0.0,01
159,2020-08-07,0.0,01
160,2020-08-08,0.0,01
161,2020-08-09,0.00012018308,01
162,2020-08-10,0.032441966,01
163,2020-08-11,0.02705975,01
164,2020-08-12,0.012060643,01
165,2020-08-13,0.0645089,01
166,2020-08-14,0.05957848,01
167,2020-08-15,0.004184167,01
168,2020-08-16,0.038212713,01
169,2020-08-17,0.06159119,01
170,2020-08-18,0.008743216,01
171,2020-08-19,0.0019438354,01
172,2020-08-20,0.0004380387,01
173,2020-08-21,0.00092508487,01
174,2020-08-22,0.07822253,01
175,2020-08-23,0.005789948,01
176,2020-08-24,0.00011358212,01
177,2020-08-25,0.0,01
178,2020-08-26,0.00015218939,01
179,2020-08-27,9.237301e-06,01
180,2020-08-28,0.28567433,01
181,2020-08-29,0.045188744,01
182,2020-08-30,0.10522099,01
183,2020-08-31,0.02533085,01
184,2020-09-01,0.004906566,01
185,2020-09-02,0.0008212916,01
186,2020-09-03,5.0786006e-05,01
187,2020-09-04,0.0,01
188,2020-09-05,2.523371e-05,01
189,2020-09-06,0.00424699,01
190,2020-09-07,0.0011969866,01
191,2020-09-08,6.603862e-05,01
192,2020-09-09,2.3609293e-05,01
193,2020-09-10,2.6387312e-05,01
194,2020-09-11,0.00026397305,01
195,2020-09-12,0.00026962865,01
196,2020-09-13,1.8575829e-05,01
197,2020-09-14,0.0016155672,01
198,2020-09-15,0.0012626691,01
199,2020-09-16,0.011430602,01
200,2020-09-17,0.0009930835,01
201,2020-09-18,5.6806603e-05,01
202,2020-09-19,0.052579753,01
203,2020-09-20,0.19339602,01
204,2020-09-21,0.102391794,01
205,2020-09-22,0.07699774,01
206,2020-09-23,0.10264617,01
207,2020-09-24,0.09982027,01
208,2020-09-25,0.16879602,01
209,2020-09-26,0.10639591,01
210,2020-09-27,0.30658394,01
211,2020-09-28,0.12277036,01
212,2020-09-29,0.0147579,01
213,2020-09-30,0.00029338212,01
214,2020-10-01,0.09414757,01
215,2020-10-02,0.33051783,01
216,2020-10-03,0.13573517,01
217,2020-10-04,0.13473924,01
218,2020-10-05,0.08370275,01
219,2020-10-06,0.090343334,01
220,2020-10-07,0.07877713,01
221,2020-10-08,0.0039101955,01
222,2020-10-09,0.00056564173,01
223,2020-10-10,0.07672423,01
224,2020-10-11,0.03312983,01
225,2020-10-12,0.004911593,01
226,2020-10-13,0.027315171,01
227,2020-10-14,0.010255391,01
228,2020-10-15,0.008939931,01
229,2020-10-16,0.014311819,01
230,2020-10-17,0.0022033253,01
231,2020-10-18,0.001010026,01
232,2020-10-19,8.735113e-05,01
233,2020-10-20,2.1281809e-05,01
234,2020-10-21,0.008133553,01
235,2020-10-22,0.028077034,01
236,2020-10-23,0.4323015,01
237,2020-10-24,0.05237848,01
238,2020-10-25,0.0128266085,01
239,2020-10-26,0.4542562,01
240,2020-10-27,0.053310156,01
241,2020-10-28,0.10843073,01
242,2020-10-29,0.09640371,01
243,2020-10-30,0.0048493436,01
244,2020-10-31,0.00011405478,01
245,2020-03-01,0.10359024,02
246,2020-03-02,0.19690347,02
247,2020-03-03,0.026590446,02
248,2020-03-04,0.021174422,02
249,2020-03-05,0.20205545,02
250,2020-03-06,0.09472709,02
251,2020-03-07,0.005341241,02
252,2020-03-08,0.024460284,02
253,2020-03-09,0.014960686,02
254,2020-03-10,0.18345706,02
255,2020-03-11,0.020393861,02
256,2020-03-12,0.029803656,02
257,2020-03-13,0.004392916,02
258,2020-03-14,0.022533901,02
259,2020-03-15,0.005160419,02
260,2020-03-16,0.002197831,02
261,2020-03-17,0.000327278,02
262,2020-03-18,0.0012478691,02
263,2020-03-19,0.0029924936,02
264,2020-03-20,0.015485532,02
265,2020-03-21,0.020171441,02
266,2020-03-22,0.00092880114,02
267,2020-03-23,1.7669051e-06,02
268,2020-03-24,0.0,02
269,2020-03-25,0.0,02
270,2020-03-26,0.0,02
271,2020-03-27,0.0,02
272,2020-03-28,4.0765817e-06,02
273,2020-03-29,0.0054555205,02
274,2020-03-30,0.0004937564,02
275,2020-03-31,1.1663024e-07,02
276,2020-04-01,1.9438374e-08,02
277,2020-04-02,0.000102859456,02
278,2020-04-03,0.010819464,02
279,2020-04-04,0.0007893857,02
280,2020-04-05,1.647359e-05,02
281,2020-04-06,0.0002516191,02
282,2020-04-07,9.1067915e-05,02
283,2020-04-08,4.2452953e-06,02
284,2020-04-09,3.509176e-05,02
285,2020-04-10,1.3982241e-05,02
286,2020-04-11,1.12788275e-05,02
287,2020-04-12,0.006024832,02
288,2020-04-13,0.009013341,02
289,2020-04-14,0.0005442937,02
290,2020-04-15,0.0,02
291,2020-04-16,1.5602145e-05,02
292,2020-04-17,0.002090689,02
293,2020-04-18,0.088366695,02
294,2020-04-19,0.0072403,02
295,2020-04-20,3.0437377e-05,02
296,2020-04-21,0.0,02
297,2020-04-22,0.0,02
298,2020-04-23,0.0,02
299,2020-04-24,7.6777076e-05,02
300,2020-04-25,7.0275375e-05,02
301,2020-04-26,3.5428786e-06,02
302,2020-04-27,0.0072999047,02
303,2020-04-28,0.043157216,02
304,2020-04-29,0.040816903,02
305,2020-04-30,0.08219138,02
306,2020-05-01,0.10717474,02
307,2020-05-02,0.015131609,02
308,2020-05-03,0.010978714,02
309,2020-05-04,0.007827597,02
310,2020-05-05,0.01922471,02
311,2020-05-06,0.0014702306,02
312,2020-05-07,1.2934686e-06,02
313,2020-05-08,0.00017898058,02
314,2020-05-09,0.0022756634,02
315,2020-05-10,0.07054365,02
316,2020-05-11,0.034400698,02
317,2020-05-12,0.0014786723,02
318,2020-05-13,0.00013935602,02
319,2020-05-14,1.6751774e-05,02
320,2020-05-15,1.9438374e-08,02
321,2020-05-16,0.0,02
322,2020-05-17,0.0,02
323,2020-05-18,0.0,02
324,2020-05-19,0.0,02
325,2020-05-20,3.335625e-05,02
326,2020-05-21,0.0003989084,02
327,2020-05-22,0.011743665,02
328,2020-05-23,0.049355287,02
329,2020-05-24,0.00829055,02
330,2020-05-25,0.00047019884,02
331,2020-05-26,3.2434e-05,02
332,2020-05-27,3.0323863e-06,02
333,2020-05-28,0.0,02
334,2020-05-29,0.0,02
335,2020-05-30,0.0,02
336,2020-05-31,0.0,02
337,2020-06-01,0.0,02
338,2020-06-02,1.5919844e-05,02
339,2020-06-03,0.008524031,02
340,2020-06-04,0.02928663,02
341,2020-06-05,0.07012396,02
342,2020-06-06,0.022103455,02
343,2020-06-07,0.007725526,02
344,2020-06-08,0.032883707,02
345,2020-06-09,0.013846098,02
346,2020-06-10,0.0036435793,02
347,2020-06-11,0.016474895,02
348,2020-06-12,0.07592478,02
349,2020-06-13,0.00901889,02
350,2020-06-14,0.0015891594,02
351,2020-06-15,0.006465087,02
352,2020-06-16,0.025581144,02
353,2020-06-17,0.033762906,02
354,2020-06-18,0.01530712,02
355,2020-06-19,0.010458297,02
356,2020-06-20,0.01322039,02
357,2020-06-21,0.008386253,02
358,2020-06-22,0.001004993,02
359,2020-06-23,5.3243184e-06,02
360,2020-06-24,0.0,02
361,2020-06-25,3.6388636e-05,02
362,2020-06-26,0.011502669,02
363,2020-06-27,0.06478728,02
364,2020-06-28,0.01799953,02
365,2020-06-29,0.059664253,02
366,2020-06-30,0.0036823426,02
367,2020-07-01,0.08532461,02
368,2020-07-02,0.036260795,02
369,2020-07-03,0.0068079587,02
370,2020-07-04,0.015585802,02
371,2020-07-05,0.013801896,02
372,2020-07-06,0.006122421,02
373,2020-07-07,0.0021257913,02
374,2020-07-08,0.0071358774,02
375,2020-07-09,0.0007368562,02
376,2020-07-10,0.013288124,02
377,2020-07-11,0.0024016558,02
378,2020-07-12,0.000104323175,02
379,2020-07-13,3.887675e-07,02
380,2020-07-14,0.029054174,02
381,2020-07-15,0.009763818,02
382,2020-07-16,0.010453625,02
383,2020-07-17,0.0031259044,02
384,2020-07-18,0.0020623116,02
385,2020-07-19,0.00013081227,02
386,2020-07-20,0.00010193823,02
387,2020-07-21,7.743681e-06,02
388,2020-07-22,0.0,02
389,2020-07-23,1.443675e-05,02
390,2020-07-24,0.019649569,02
391,2020-07-25,0.012721185,02
392,2020-07-26,0.059634708,02
393,2020-07-27,0.004125859,02
394,2020-07-28,0.00613969,02
395,2020-07-29,0.0003282627,02
396,2020-07-30,3.2358182e-06,02
397,2020-07-31,0.00485976,02
398,2020-08-01,0.006447847,02
399,2020-08-02,0.0012969734,02
400,2020-08-03,0.016089369,02
401,2020-08-04,0.0017791528,02
402,2020-08-05,0.0,02
403,2020-08-06,0.0,02
404,2020-08-07,0.0,02
405,2020-08-08,0.0012683126,02
406,2020-08-09,0.01579392,02
407,2020-08-10,0.007955215,02
408,2020-08-11,0.0013414163,02
409,2020-08-12,0.010871116,02
410,2020-08-13,0.015766699,02
411,2020-08-14,0.030329226,02
412,2020-08-15,0.010090137,02
413,2020-08-16,0.032246776,02
414,2020-08-17,0.011782669,02
415,2020-08-18,0.005879504,02
416,2020-08-19,0.043245018,02
417,2020-08-20,0.013911425,02
418,2020-08-21,0.120845556,02
419,2020-08-22,0.010712715,02
420,2020-08-23,0.009999815,02
421,2020-08-24,0.017524824,02
422,2020-08-25,0.030558603,02
423,2020-08-26,0.0061433692,02
424,2020-08-27,0.008939996,02
425,2020-08-28,0.0397232,02
426,2020-08-29,0.03382297,02
427,2020-08-30,0.04012333,02
428,2020-08-31,0.006585334,02
429,2020-09-01,0.0012311938,02
430,2020-09-02,0.00095582,02
431,2020-09-03,0.00029050143,02
432,2020-09-04,0.0016022271,02
433,2020-09-05,0.0034595414,02
434,2020-09-06,0.0018311043,02
435,2020-09-07,0.00013362951,02
436,2020-09-08,8.0780905e-05,02
437,2020-09-09,0.0009656929,02
438,2020-09-10,0.00033490884,02
439,2020-09-11,1.9648058e-05,02
440,2020-09-12,1.4349054e-07,02
441,2020-09-13,0.0,02
442,2020-09-14,0.0,02
443,2020-09-15,0.0,02
444,2020-09-16,0.005481095,02
445,2020-09-17,0.00061394763,02
446,2020-09-18,5.00234e-05,02
447,2020-09-19,0.0035333636,02
448,2020-09-20,0.0029928212,02
449,2020-09-21,0.00014581726,02
450,2020-09-22,4.156444e-06,02
451,2020-09-23,0.017444797,02
452,2020-09-24,0.03608919,02
453,2020-09-25,0.086609796,02
454,2020-09-26,0.05602171,02
