,time,u10,v10,t2m,dep,tp
0,2020-03-01,0.9747478,3.110744,280.07706,01,0.06371634
1,2020-03-02,0.5681297,0.7575868,277.4524,01,0.2912933
2,2020-03-03,0.9471536,-0.33700126,276.45303,01,0.056209452
3,2020-03-04,0.32259992,0.7403647,276.79865,01,0.0025813424
4,2020-03-05,0.7309838,3.4450917,279.84982,01,0.36400908
5,2020-03-06,1.4044045,0.17536967,277.81076,01,0.07904315
6,2020-03-07,0.38136,-1.7013353,276.6638,01,0.014987537
7,2020-03-08,0.031627994,1.1253326,278.57837,01,0.0057190284
8,2020-03-09,1.1322917,-0.40594956,277.8222,01,0.1477914
9,2020-03-10,-0.4640285,1.4303601,277.4115,01,0.07425181
10,2020-03-11,0.15660718,0.44244862,283.1324,01,0.007249468
11,2020-03-12,0.8270419,0.01056613,283.31885,01,0.008840556
12,2020-03-13,0.6890081,-1.7297293,280.0333,01,0.0070156604
13,2020-03-14,0.2553047,-1.2241824,278.87668,01,0.0012487043
14,2020-03-15,0.078441754,2.0198886,280.89987,01,4.2894422e-05
15,2020-03-16,-0.318379,1.006941,282.63034,01,0.00014468642
16,2020-03-17,-0.16042304,-0.34686086,283.9456,01,1.0389905e-05
17,2020-03-18,-0.18750432,-0.89396083,284.50998,01,9.798527e-08
18,2020-03-19,-0.27685684,0.98641956,285.38248,01,0.0029485726
19,2020-03-20,-0.21198855,0.71543473,284.94818,01,0.0066525456
20,2020-03-21,-0.35214788,-0.68161875,283.6029,01,0.0038000147
21,2020-03-22,-0.42206192,-1.3769358,282.16266,01,0.0048864223
22,2020-03-23,-0.53293097,-1.3019813,280.5759,01,0.0005184506
23,2020-03-24,-0.48389223,-1.3172864,277.67706,01,1.5351923e-05
24,2020-03-25,-0.18051648,-1.1731625,277.20935,01,0.00067101576
25,2020-03-26,-0.4858713,-1.0485804,277.7252,01,0.018817348
26,2020-03-27,0.29120177,-1.3580658,279.52985,01,0.0010427501
27,2020-03-28,0.19524528,-1.45173,282.49136,01,9.080694e-06
28,2020-03-29,0.16768384,-3.2213154,279.52393,01,0.008912764
29,2020-03-30,-1.5318546,-3.0357459,277.51517,01,0.0013195015
30,2020-03-31,-0.92131823,-2.0228798,278.02533,01,1.4537413e-05
31,2020-04-01,0.09151732,-0.05261,278.65524,01,0.0
32,2020-04-02,0.480583,-0.667976,280.1378,01,4.7087593e-05
33,2020-04-03,0.30921778,-2.2370222,279.30423,01,8.9262385e-06
34,2020-04-04,-0.3495092,-0.21651043,281.89926,01,1.8953655e-05
35,2020-04-05,-0.061119623,1.811669,284.7266,01,3.0323863e-06
36,2020-04-06,-0.13005458,2.0334458,285.45233,01,0.0
37,2020-04-07,-0.101338156,0.54392976,286.63266,01,0.0
38,2020-04-08,-0.0928609,0.8414481,287.1574,01,0.0004240633
39,2020-04-09,-0.3369611,-0.3737839,287.50616,01,0.00022432231
40,2020-04-10,-0.1449353,-0.20072654,288.05804,01,0.0001464094
41,2020-04-11,0.026139745,0.34986702,288.3098,01,0.00017889413
42,2020-04-12,0.19839144,2.2926185,287.1099,01,0.005391016
43,2020-04-13,-0.33860594,-0.59047127,286.9399,01,0.0008673164
44,2020-04-14,-1.0153353,-3.4570296,284.00848,01,5.807759e-05
45,2020-04-15,-0.016716195,1.025016,285.85605,01,0.0
46,2020-04-16,0.11871706,2.2511947,288.15024,01,5.017259e-05
47,2020-04-17,0.07195131,2.1609156,288.75345,01,5.8331287e-05
48,2020-04-18,0.19593737,0.51499796,288.90018,01,0.0030883066
49,2020-04-19,0.00973472,-0.13886797,288.01535,01,0.010584471
50,2020-04-20,-0.17393257,-0.43584442,288.78806,01,0.011431537
51,2020-04-21,-0.056437697,-0.58919895,289.2077,01,0.0039923373
52,2020-04-22,0.29122192,-0.4033561,288.90277,01,0.0034671153
53,2020-04-23,0.2607948,-0.084710464,289.25296,01,0.0031309798
54,2020-04-24,0.12874973,-0.50579005,289.62775,01,0.0013954605
55,2020-04-25,0.083372116,-0.73948663,289.57236,01,0.013942015
56,2020-04-26,0.44117922,-0.47668558,287.84125,01,0.03832116
57,2020-04-27,0.0025671124,1.737298,287.4604,01,0.02712273
58,2020-04-28,0.9114339,1.1952856,285.3393,01,0.13910024
59,2020-04-29,0.7143617,1.4261807,284.78717,01,0.071454264
60,2020-04-30,0.41393426,2.3342056,283.92886,01,0.21074523
61,2020-05-01,0.77257884,2.405802,283.37756,01,0.27148715
62,2020-05-02,0.7184742,0.85123855,284.00742,01,0.1286421
